,CAGR,Annual Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Total Return
Conservative,0.24361868347186344,0.16282018217791072,1.2980725394498598,2.0746184019461054,-0.3253378114413623,0.7488176132757086,1.510675361070005
Moderate,0.34041007828443504,0.19593731075072124,1.4918964576550924,2.2965718797402075,-0.37095506072089357,0.9176585369206203,2.445289965228968
Aggressive,0.37732131605664954,0.22799480914412718,1.4311689593444248,2.190050878301853,-0.4139277484454994,0.9115632316839717,2.864006087349478
